Energia;Tempo;Bailabilidad;Genero;Volumen ;Vivacidad;Valencia;Hablabilidad;Popularidad;Fecha_lanzamiento;Instrumentalidad;Modo;duration_min;Acustico
0.589;124.634;0.455;rock;-8.64;0.104;0.254;0.0328;75;17/09/1991;0.00358;1;472.888.333.333.333;0.00184
0.805;113.253;0.438;rock;-6.237;0.0842;0.564;0.0624;72;25/10/1968;5.69e-05;1;401.333.333.333.333;0.00255
0.239;189.507;0.446;rock;-13.945;0.0697;0.298;0.0316;76;1/01/1981;4.1e-06;1;560.755;0.551
0.521;123.118;0.721;rock;-8.123;0.127;0.942;0.0613;76;16/09/1977;0.00545;1;435.688.333.333.333;0.0708
0.67;129.269;0.619;rock;-10.322;0.331;0.777;0.0353;71;9/03/1993;0.0109;0;353.221.666.666.667;0.00165
0.828;105.25;0.539;rock;-9.108;0.154;0.562;0.035;70;3/03/1986;0.421;0;858.978.333.333.333;0.00067
0.487;114.965;0.73;rock;-10.991;0.0852;0.731;0.0303;79;13/04/1987;0.01;1;377.755;0.258
0.697;116.109;0.741;rock;-7.028;0.133;0.774;0.0277;84;7/12/1970;2.28e-05;1;266.888.333.333.333;0.0664
0.579;127.215;0.62;rock;-9.307;0.0858;0.691;0.0473;69;6/06/1978;6.4e-05;1;376.045;0.0152
0.912;116.761;0.502;rock;-4.556;0.106;0.72;0.0564;76;26/09/1991;0.000173;1;5.032;2.55e-05
0.833;88.785;0.466;rock;-4.215;0.0327;0.661;0.304;78;1992;0;1;522.621.666.666.667;0.0266
0.376;164.775;0.53;rock;-11.913;0.0926;0.188;0.04;75;26/09/1969;0.247;0;433.245;0.0304
0.786;126.755;0.482;rock;-5.735;0.446;0.793;0.032;73;1976;8.88e-05;1;538.333.333.333.333;0.00321
0.789;129.802;0.674;rock;-6.903;0.0753;0.918;0.0676;78;10/02/1997;0.00708;1;201.933.333.333.333;0.00178
0.441;81.334;0.519;rock;-14.178;0.076;0.25;0.0353;76;21/03/1988;0.000453;1;391.621.666.666.667;0.0204
0.836;113.375;0.743;rock;-6.465;0.384;0.82;0.116;80;1982;0;1;314.978.333.333.333;0.0804
0.528;109.975;0.932;rock;-6.472;0.163;0.757;0.161;71;27/06/1980;0.329;0;357.755;0.115
0.905;128.019;0.602;rock;-4.046;0.117;0.411;0.0775;75;10/09/2009;0.064;1;508.066.666.666.667;0.000202
0.519;98.883;0.653;rock;-10.164;0.101;0.822;0.0497;76;5/12/1966;0.0209;1;256.155;0.406
0.946;138.18;0.454;rock;-5.978;0.173;0.647;0.13;68;10/02/1978;0;0;260.245;0.0223
0.828;105.435;0.35;rock;-5.373;0.0774;0.147;0.041;76;9/03/1994;0.000161;1;530.978.333.333.333;0.000217
0.349;124.348;0.489;rock;-14.295;0.0866;0.622;0.0323;70;1/07/1994;0.0789;0;327.445;0.676
0.872;159.925;0.587;rock;-5.066;0.622;0.735;0.0484;73;12/05/1998;0;1;368.888.333.333.333;0.018
0.808;151.008;0.577;rock;-7.04;0.221;0.869;0.039;75;2/10/1979;1.33e-05;0;4.838;0.0338
0.758;112.113;0.489;rock;-6.491;0.092;0.435;0.0297;72;1977;0.49;1;619.021.666.666.667;0.000678
0.932;112.937;0.564;rock;-10.068;0.349;0.619;0.0554;75;1970;0.169;1;24.375;0.013
0.338;177.765;0.388;rock;-10.054;0.248;0.478;0.0329;76;1977;3.73e-06;1;505.621.666.666.667;0.652
0.7;188.386;0.31;rock;-5.678;0.0828;0.763;0.047;83;25/07/1980;0.00965;1;425.821.666.666.667;0.011
0.691;137.145;0.548;rock;-13.553;0.144;0.667;0.0369;74;14/05/1977;0.106;0;436.555;0.015
0.532;136.576;0.601;rock;-9.119;0.0925;0.342;0.0286;79;19/05/1972;5.95e-06;1;469.355;0.433
0.641;203.006;0.256;rock;-10.283;0.0853;0.382;0.0552;79;21/09/1993;0.0329;1;4.686;0.199
0.755;109.535;0.667;rock;-7.246;0.0523;0.883;0.069;68;8/12/1976;6.94e-05;1;477.033.333.333.333;0.0966
0.373;92.718;0.671;rock;-18.064;0.0481;0.732;0.0323;83;8/04/1982;8.01e-05;1;493.155;0.257
0.927;141.466;0.333;rock;-8.55;0.297;0.385;0.0733;75;1976;0.000208;0;513.533.333.333.333;0.0029
0.787;126.879;0.767;rock;-9.897;0.0513;0.964;0.0331;77;1995;0.583;1;443.666.666.666.667;0.0163
0.366;127.163;0.472;rock;-12.595;0.0837;0.171;0.0286;71;30/11/1979;0.312;0;637.161.666.666.667;0.15
0.864;81.394;0.437;rock;-7.842;0.242;0.749;0.0904;69;8/11/1971;0.0314;0;492.311.666.666.667;0.396
0.584;170.411;0.509;rock;-4.907;0.384;0.685;0.057;69;1/01/2002;9.96e-05;1;464.578.333.333.333;0.0368
0.912;117.399;0.575;rock;-7.275;0.0562;0.843;0.0393;69;1973;0.00211;0;345.445;0.0916
0.611;85.387;0.654;rock;-10.45;0.405;0.786;0.119;69;1/03/1994;0.000178;1;391.666.666.666.667;0.0337
0.482;138.453;0.529;rock;-11.709;0.0842;0.492;0.0599;74;1971;0;0;861.488.333.333.333;0.7
0.748;134.114;0.618;rock;-8.905;0.0473;0.663;0.358;77;2/11/1978;4.1e-06;1;319.911.666.666.667;0.0384
0.7;147.245;0.586;rock;-9.558;0.0318;0.897;0.0363;69;1/01/1979;0.00125;1;492.333.333.333.333;0.0589
0.318;104.522;0.575;rock;-16.729;0.0934;0.385;0.109;74;1/12/1972;0.000202;1;423.621.666.666.667;0.683
0.706;80.823;0.445;rock;-9.803;0.205;0.768;0.0461;70;1976;0.000252;1;444.533.333.333.333;0.234
0.913;115.728;0.574;rock;-4.793;0.156;0.423;0.133;84;27/07/1979;0.00158;0;347.333.333.333.333;0.061
0.495;124.936;0.532;rock;-6.662;0.0754;0.308;0.0343;79;1977;0;1;357.066.666.666.667;0.659
0.875;75.009;0.284;rock;-6.069;0.402;0.595;0.0422;73;27/08/1991;0.000461;0;568.178.333.333.333;0.00752
0.737;103.867;0.662;rock;-9.54;0.119;0.744;0.0296;69;13/09/1989;0.0191;1;549.666.666.666.667;0.108
0.936;91.577;0.666;rock;-9.919;0.153;0.776;0.0476;72;24/09/1991;0.086;1;471.511.666.666.667;0.00244
0.432;94.605;0.475;rock;-7.844;0.161;0.648;0.0302;79;14/10/1997;0;1;255.778.333.333.333;0.183
0.549;176.941;0.516;rock;-13.741;0.184;0.907;0.0373;73;19/11/1984;0.00572;1;481.221.666.666.667;0.501
0.751;89.839;0.421;rock;-9.584;0.17;0.789;0.0472;72;4/01/1967;0;1;243.111.666.666.667;0.2
0.938;168.131;0.324;rock;-7.332;0.0961;0.543;0.102;71;23/05/1994;0.0321;0;2.974;0.032
0.953;84.989;0.267;rock;-4.899;0.283;0.568;0.096;72;3/08/1987;0;0;445.511.666.666.667;0.00211
0.919;135.997;0.465;rock;-4.025;0.262;0.537;0.0408;73;2/11/1999;2.07e-05;1;392.155;1.83e-05
0.58;127.402;0.741;rock;-9.05;0.212;0.944;0.0304;70;5/08/1980;3.61e-05;1;285.445;0.117
0.72;121.864;0.404;rock;-9.18;0.0466;0.475;0.0623;73;1995;0.836;0;430.778.333.333.333;5.59e-05
0.927;170.814;0.215;rock;-7.327;0.126;0.49;0.0452;72;7/06/1994;0.00661;1;324.755;0.000273
0.801;133.769;0.651;rock;-7.34;0.0825;0.776;0.0514;70;1979;0;1;334.133.333.333.333;0.123
0.262;122.861;0.481;rock;-15.73;0.832;0.375;0.0414;75;12/09/1975;0.0114;1;557.906.666.666.667;0.735
0.449;84.383;0.623;rock;-13.333;0.0613;0.573;0.0253;75;1/01/1989;0;1;426.666.666.666.667;0.212
0.476;148.117;0.389;rock;-9.342;0.255;0.566;0.0316;73;1/01/1992;5.09e-05;1;361.845;0.619
0.978;141.167;0.526;rock;-5.436;0.0744;0.451;0.108;72;4/01/1984;4.75e-05;1;350.378.333.333.333;0.00122
0.842;100.127;0.297;rock;-7.457;0.0848;0.586;0.0488;72;29/09/1992;9.1e-06;1;344.621.666.666.667;0.000286
0.944;146.347;0.27;rock;-4.199;0.116;0.606;0.0975;70;25/08/1975;2.05e-05;1;449.866.666.666.667;0.00501
0.182;136.094;0.349;jazz;-13.507;0.143;0.178;0.031;69;1/01/1954;0.0152;1;319.955;0.92
0.164;58.303;0.136;classical;-18.756;0.109;0.071;0.0364;68;1/01/1976;0.916;0;278.111.666.666.667;0.911
0.00527;170.612;0.184;classical;-37.264;0.173;0.151;0.0432;68;25/09/2007;0.887;0;525.711.666.666.667;0.995
0.449;92.468;0.447;classical;-10.634;0.0697;0.036;0.0376;75;1/01/2013;0.961;1;525.711.666.666.667;0.934
0.812;80.09;0.505;hip-hop;-3.986;0.444;0.664;0.461;88;28/10/2024;0;1;426.526.666.666.667;0.285
0.507;130.007;0.872;hip-hop;-6.323;0.111;0.506;0.072;76;18/10/2024;0;0;264.445;0.195
0.802;128.085;0.835;hip-hop;-4.286;0.0882;0.374;0.243;71;11/10/2024;7.33e-06;1;23.963;0.0311
0.533;120.011;0.794;hip-hop;-8.206;0.207;0.15;0.0591;73;20/09/2024;2.76e-05;1;298.371.666.666.667;0.14
0.722;119.973;0.769;hip-hop;-5.485;0.111;0.57;0.0507;92;27/09/2024;2.56e-06;0;426.666.666.666.667;0.0584
0.684;166.976;0.832;hip-hop;-4.691;0.229;0.68;0.359;78;11/10/2024;0;1;249.101.666.666.667;0.00449
0.642;111.907;0.65;hip-hop;-5.332;0.0855;0.186;0.04;70;15/11/2024;0;1;211.923.333.333.333;0.00502
0.699;129.054;0.92;hip-hop;-6.635;0.0745;0.484;0.358;72;27/09/2024;0;1;2.303;0.00768
0.628;119.98;0.757;hip-hop;-6.715;0.221;0.321;0.101;85;14/06/2024;0.0209;0;362.221.666.666.667;0.189
0.709;78.53;0.749;hip-hop;-6.385;0.329;0.564;0.259;73;31/05/2024;0;1;301.943.333.333.333;0.155
0.69;125.951;0.853;hip-hop;-5.858;0.0835;0.471;0.0647;78;31/08/2024;0;1;228.571.666.666.667;0.0771
0.754;131.001;0.863;hip-hop;-5.851;0.0913;0.301;0.0611;77;20/09/2024;0;1;231.995;0.00125
0.4;106.682;0.608;hip-hop;-9.519;0.119;0.089;0.32;69;22/08/2024;0.000327;1;26.538;0.029
0.509;157.94;0.662;hip-hop;-9.159;0.266;0.549;0.322;70;16/08/2024;0;1;227.848.333.333.333;0.247
0.663;143.082;0.76;hip-hop;-4.763;0.305;0.209;0.0551;81;13/09/2024;0;0;246.755;0.109
0.761;147.216;0.649;hip-hop;-4.204;0.207;0.313;0.152;73;20/09/2024;0;1;25.034;0.00694
0.663;184.057;0.672;hip-hop;-5.984;0.134;0.381;0.243;76;1/11/2024;0;1;23.054;0.112
0.681;114.991;0.884;hip-hop;-5.839;0.277;0.324;0.149;69;11/10/2024;0;1;307.156.666.666.667;0.0439
0.723;139.942;0.783;hip-hop;-4.881;0.159;0.294;0.135;76;30/08/2024;0;1;463.335;0.0264
0.831;139.905;0.652;hip-hop;-5.972;0.269;0.648;0.264;68;20/09/2024;0;0;251.661.666.666.667;0.0111
0.525;75.013;0.776;hip-hop;-6.723;0.108;0.467;0.137;70;9/08/2024;0;1;362.688.333.333.333;0.0366
0.5;63.925;0.427;hip-hop;-8.269;0.127;0.269;0.141;76;11/10/2024;0;1;3;0.286
0.586;125.845;0.731;hip-hop;-7.564;0.0987;0.147;0.172;77;6/09/2024;0;0;331.941.666.666.667;0.116
0.552;144.941;0.64;hip-hop;-5.679;0.119;0.112;0.129;84;22/03/2024;0;1;380.445;0.0215
0.472;101.061;0.898;hip-hop;-7.001;0.141;0.214;0.0776;88;4/05/2024;0;1;456.986.666.666.667;0.0107
0.859;129.77;0.77;hip-hop;-3.382;0.673;0.64;0.275;85;28/10/2024;0;0;345.455;0.362
0.685;121.991;0.731;hip-hop;-4.707;0.0865;0.458;0.12;72;3/08/2024;0;0;278.715;0.054
0.578;124.005;0.916;hip-hop;-6.275;0.113;0.192;0.124;74;20/09/2024;0.00402;1;26.649;0.00349
0.574;146.007;0.694;hip-hop;-6.144;0.082;0.286;0.0483;79;30/08/2024;0;0;210.593.333.333.333;0.193
0.867;131.041;0.902;hip-hop;-3.108;0.142;0.799;0.225;68;9/08/2024;0;0;220.563.333.333.333;0.0678
0.692;140.203;0.637;hip-hop;-7.231;0.345;0.427;0.164;73;1/11/2024;0;0;273.943.333.333.333;0.0153
0.478;104.563;0.675;hip-hop;-10.201;0.127;0.39;0.512;69;27/09/2024;7.8e-06;1;350.476.666.666.667;0.0731
0.878;82.557;0.661;hip-hop;-4.099;0.381;0.514;0.31;87;28/10/2024;0;1;275.688.333.333.333;0.00289
0.396;78.022;0.726;hip-hop;-9.121;0.527;0.413;0.283;73;14/10/2024;0;0;329.046.666.666.667;0.269
0.711;117.038;0.974;hip-hop;-5.206;0.0888;0.328;0.194;72;30/08/2024;3.92e-05;0;211.386.666.666.667;0.0988
0.527;77.499;0.824;hip-hop;-5.506;0.368;0.212;0.118;74;30/08/2024;0;1;258.985;0.149
0.752;158.042;0.638;hip-hop;-6.227;0.17;0.242;0.0385;72;18/10/2024;0.734;0;283.646.666.666.667;0.0066
0.826;108.52;0.654;hip-hop;-2.93;0.131;0.417;0.354;71;6/02/2003;0.00146;0;427.045;0.0153
0.472;101.061;0.898;hip-hop;-7.001;0.141;0.214;0.0776;88;4/05/2024;0;1;456.986.666.666.667;0.0107
0.764;140.113;0.882;hip-hop;-5.241;0.119;0.886;0.204;81;23/05/2024;0;1;234.555;0.359
0.552;144.941;0.64;hip-hop;-5.679;0.119;0.112;0.129;84;22/03/2024;0;1;380.445;0.0215
